@                  ,@   ,500s              ,0
600                ,Num ,%                 ,11
@                  ,@   ,600               ,11
1000               ,Num ,:                 ,19
1914               ,Num ,:                 ,11
1920               ,Num ,%                 ,20
@                  ,@   ,1920              ,8
@                  ,@   ,1920s             ,11
1930               ,Num ,%                 ,25
@                  ,@   ,1930              ,8
@                  ,@   ,1930s             ,17
1936               ,Num ,:                 ,10
1939               ,Num ,:                 ,13
1940               ,Num ,%                 ,19
@                  ,@   ,1940              ,12
@                  ,@   ,1940s             ,7
1944               ,Num ,:                 ,11
1945               ,Num ,:                 ,18
1946               ,Num ,:                 ,10
1947               ,Num ,:                 ,12
1948               ,Num ,:                 ,13
1949               ,Num ,:                 ,10
1950               ,Num ,%                 ,33
@                  ,@   ,1950              ,13
@                  ,@   ,1950s             ,20
1951               ,Num ,:                 ,10
1953               ,Num ,:                 ,10
1954               ,Num ,:                 ,10
1956               ,Num ,:                 ,11
1957               ,Num ,:                 ,12
1958               ,Num ,:                 ,11
1959               ,Num ,:                 ,12
1960               ,Num ,%                 ,45
@                  ,@   ,1960              ,15
@                  ,@   ,1960s             ,30
1961               ,Num ,:                 ,14
1962               ,Num ,:                 ,14
1963               ,Num ,:                 ,14
1964               ,Num ,:                 ,18
1965               ,Num ,:                 ,16
1966               ,Num ,:                 ,17
1967               ,Num ,:                 ,21
1968               ,Num ,:                 ,24
1969               ,Num ,:                 ,20
1970               ,Num ,%                 ,60
@                  ,@   ,1970              ,26
@                  ,@   ,1970s             ,34
1971               ,Num ,:                 ,26
1972               ,Num ,:                 ,27
1973               ,Num ,:                 ,29
1974               ,Num ,:                 ,33
1975               ,Num ,:                 ,34
1976               ,Num ,:                 ,36
1977               ,Num ,:                 ,37
1978               ,Num ,:                 ,37
1979               ,Num ,:                 ,54
1980               ,Num ,%                 ,90
@                  ,@   ,1980              ,52
@                  ,@   ,1980s             ,38
1981               ,Num ,%                 ,56
@                  ,@   ,1981              ,56
1982               ,Num ,:                 ,52
1983               ,Num ,:                 ,57
