@                  ,@   ,bucket            ,10
@                  ,@   ,buckets           ,4
budget             ,NoC ,%                 ,94
@                  ,@   ,budget            ,82
@                  ,@   ,budgets           ,13
build              ,Verb,%                 ,230
@                  ,@   ,build             ,68
@                  ,@   ,building          ,28
@                  ,@   ,builds            ,6
@                  ,@   ,built             ,129
builder            ,NoC ,%                 ,19
@                  ,@   ,builder           ,9
@                  ,@   ,builders          ,10
building           ,NoC ,%                 ,229
@                  ,@   ,building          ,163
@                  ,@   ,buildings         ,66
bulb               ,NoC ,%                 ,10
@                  ,@   ,bulb              ,4
@                  ,@   ,bulbs             ,6
bulk               ,NoC ,%                 ,21
@                  ,@   ,bulk              ,20
bull               ,NoC ,%                 ,12
@                  ,@   ,bull              ,8
@                  ,@   ,bulls             ,3
bullet             ,NoC ,%                 ,13
@                  ,@   ,bullet            ,7
@                  ,@   ,bullets           ,6
bunch              ,NoC ,%                 ,14
@                  ,@   ,bunch             ,12
@                  ,@   ,bunches           ,2
burden             ,NoC ,%                 ,30
@                  ,@   ,burden            ,26
@                  ,@   ,burdens           ,4
bureau             ,NoC ,%                 ,19
@                  ,@   ,bureau            ,14
@                  ,@   ,bureaus           ,1
@                  ,@   ,bureaux           ,4
bureaucracy        ,NoC ,%                 ,15
@                  ,@   ,bureaucracies     ,2
@                  ,@   ,bureaucracy       ,13
burial             ,NoC ,%                 ,11
@                  ,@   ,burial            ,9
@                  ,@   ,burials           ,1
burn               ,Verb,%                 ,53
@                  ,@   ,burn              ,12
@                  ,@   ,burned            ,14
@                  ,@   ,burning           ,13
@                  ,@   ,burns             ,3
@                  ,@   ,burnt             ,10
burning            ,Adj ,:                 ,13
burst              ,Verb,%                 ,25
@                  ,@   ,burst             ,19
@                  ,@   ,bursting          ,5
@                  ,@   ,bursts            ,1
bury               ,Verb,%                 ,31
@                  ,@   ,buried            ,24
@                  ,@   ,buries            ,0
@                  ,@   ,bury              ,5
@                  ,@   ,burying           ,2
bus                ,NoC ,%                 ,68
@                  ,@   ,bus               ,54
@                  ,@   ,buses             ,15
bush               ,NoC ,%                 ,17
@                  ,@   ,bush              ,9
@                  ,@   ,bushes            ,8
Bush               ,NoP ,:                 ,29
business           ,NoC ,%                 ,394
@                  ,@   ,business          ,358
@                  ,@   ,businesses        ,37
businessman        ,NoC ,%                 ,20
@                  ,@   ,businessman       ,10
@                  ,@   ,businessmen       ,10
busy               ,Adj ,%                 ,53
@                  ,@   ,busier            ,1
@                  ,@   ,busiest           ,2
@                  ,@   ,busy              ,50
but                ,Conj,:                 ,4577
but                ,Prep,:                 ,22
Butler             ,NoP ,%                 ,11
@                  ,@   ,Butler            ,10
butter             ,NoC ,%                 ,21
@                  ,@   ,butter            ,21
@                  ,@   ,butters           ,0
butterfly          ,NoC ,%                 ,11
@                  ,@   ,butterflies       ,5
@                  ,@   ,butterfly         ,6
button             ,NoC ,%                 ,26
@                  ,@   ,button            ,16
@                  ,@   ,buttons           ,9
buy                ,Verb,%                 ,262
@                  ,@   ,bought            ,91
@                  ,@   ,buy               ,124
@                  ,@   ,buying            ,41
@                  ,@   ,buys              ,6
buyer              ,NoC ,%                 ,44
@                  ,@   ,buyer             ,27
@                  ,@   ,buyers            ,17
by                 ,Adv ,:                 ,32
by                 ,Prep,:                 ,5096
by means of        ,Prep,:                 ,16
by no means        ,Adv ,:                 ,16
by now             ,Adv ,:                 ,22
by way of          ,Prep,:                 ,14
bye                ,Int ,:                 ,17
C / c              ,Lett,%                 ,147
@                  ,@   ,C / c             ,142
@                  ,@   ,Cs                ,5
C                  ,NoP ,%                 ,41
@                  ,@   ,C                 ,19
@                  ,@   ,C.                ,22
Ca                 ,NoP ,%                 ,15
@                  ,@   ,C.A.              ,6
@                  ,@   ,Ca                ,8
cab                ,NoC ,%                 ,17
@                  ,@   ,cab               ,15
@                  ,@   ,cabs              ,1
cabin              ,NoC ,%                 ,13
@                  ,@   ,cabin             ,11
@                  ,@   ,cabins            ,2
cabinet            ,NoC ,%                 ,69
@                  ,@   ,cabinet           ,65
@                  ,@   ,cabinets          ,4
cable              ,NoC ,%                 ,25
@                  ,@   ,cable             ,18
@                  ,@   ,cables            ,6
cage               ,NoC ,%                 ,13
@                  ,@   ,cage              ,10
@                  ,@   ,cages             ,3
cake               ,NoC ,%                 ,38
@                  ,@   ,cake              ,28
@                  ,@   ,cakes             ,10
calcium            ,NoC ,:                 ,13
calculate          ,Verb,%                 ,41
@                  ,@   ,calculate         ,10
@                  ,@   ,calculated        ,24
@                  ,@   ,calculates        ,1
@                  ,@   ,calculating       ,6
calculation        ,NoC ,%                 ,23
@                  ,@   ,calculation       ,11
@                  ,@   ,calculations      ,12
calendar           ,NoC ,%                 ,13
@                  ,@   ,calendar          ,11
@                  ,@   ,calendars         ,2
calf               ,NoC ,%                 ,11
@                  ,@   ,calf              ,6
@                  ,@   ,calves            ,4
California         ,NoP ,:                 ,22
call               ,NoC ,%                 ,92
@                  ,@   ,call              ,60
@                  ,@   ,calls             ,31
call               ,Verb,%                 ,535
@                  ,@   ,call              ,135
@                  ,@   ,called            ,329
@                  ,@   ,calling           ,41
@                  ,@   ,calls             ,30
calm               ,Adj ,%                 ,14
@                  ,@   ,calm              ,12
@                  ,@   ,calmer            ,2
calm               ,Verb,%                 ,13
@                  ,@   ,calm              ,8
@                  ,@   ,calmed            ,3
@                  ,@   ,calming           ,2
@                  ,@   ,calms             ,0
Cambridge          ,NoP ,:                 ,36
camera             ,NoC ,%                 ,39
@                  ,@   ,camera            ,27
@                  ,@   ,cameras           ,12
camp               ,NoC ,%                 ,43
@                  ,@   ,camp              ,31
@                  ,@   ,camps             ,11
campaign           ,NoC ,%                 ,105
@                  ,@   ,campaign          ,91
@                  ,@   ,campaigns         ,14
campaign           ,Verb,%                 ,14
@                  ,@   ,campaign          ,4
@                  ,@   ,campaigned        ,4
@                  ,@   ,campaigning       ,6
@                  ,@   ,campaigns         ,0
Campbell           ,NoP ,%                 ,16
@                  ,@   ,Campbell          ,16
@                  ,@   ,Campbells         ,0
can                ,NoC ,%                 ,15
@                  ,@   ,can               ,9
@                  ,@   ,cans              ,6
can                ,VMod,%                 ,2672
@                  ,@   ,ca~               ,318
@                  ,@   ,can               ,2354
Canada             ,NoP ,:                 ,29
Canadian           ,Adj ,:                 ,14
canal              ,NoC ,%                 ,26
@                  ,@   ,canal             ,21
@                  ,@   ,canals            ,5
cancel             ,Verb,%                 ,23
@                  ,@   ,cancel            ,9
@                  ,@   ,cancelled         ,12
@                  ,@   ,cancelling        ,2
@                  ,@   ,cancels           ,1
cancer             ,NoC ,%                 ,47
@                  ,@   ,cancer            ,42
@                  ,@   ,cancers           ,5
candidate          ,NoC ,%                 ,80
@                  ,@   ,candidate         ,40
@                  ,@   ,candidates        ,40
candle             ,NoC ,%                 ,16
@                  ,@   ,candle            ,8
@                  ,@   ,candles           ,8
Canterbury         ,NoP ,:                 ,12
canvas             ,NoC ,%                 ,14
@                  ,@   ,canvas            ,11
@                  ,@   ,canvases          ,2
cap                ,NoC ,%                 ,26
@                  ,@   ,cap               ,20
@                  ,@   ,caps              ,7
capability         ,NoC ,%                 ,18
@                  ,@   ,capabilities      ,9
@                  ,@   ,capability        ,9
capable            ,Adj ,:                 ,49
capacity           ,NoC ,%                 ,63
@                  ,@   ,capacities        ,4
@                  ,@   ,capacity          ,59
capital            ,NoC ,%                 ,138
@                  ,@   ,capital           ,133
@                  ,@   ,capitals          ,5
capitalism         ,NoC ,%                 ,19
@                  ,@   ,capitalism        ,19
capitalist         ,Adj ,:                 ,21
captain            ,NoC ,%                 ,56
@                  ,@   ,captain           ,54
@                  ,@   ,captains          ,3
capture            ,Verb,%                 ,31
@                  ,@   ,capture           ,9
@                  ,@   ,captured          ,17
@                  ,@   ,captures          ,2
@                  ,@   ,capturing         ,3
car                ,NoC ,%                 ,353
@                  ,@   ,car               ,278
@                  ,@   ,cars              ,75
caravan            ,NoC ,%                 ,13
@                  ,@   ,caravan           ,10
@                  ,@   ,caravans          ,3
carbon             ,NoC ,%                 ,25
@                  ,@   ,carbon            ,25
@                  ,@   ,carbons           ,0
card               ,NoC ,%                 ,96
@                  ,@   ,card              ,57
@                  ,@   ,cards             ,39
Cardiff            ,NoP ,:                 ,18
care               ,NoC ,%                 ,198
@                  ,@   ,care              ,198
@                  ,@   ,cares             ,1
care               ,Verb,%                 ,81
@                  ,@   ,care              ,51
@                  ,@   ,cared             ,13
@                  ,@   ,cares             ,6
@                  ,@   ,caring            ,10
career             ,NoC ,%                 ,94
@                  ,@   ,career            ,77
@                  ,@   ,careers           ,17
careful            ,Adj ,:                 ,52
carefully          ,Adv ,:                 ,72
carer              ,NoC ,%                 ,17
@                  ,@   ,carer             ,5
@                  ,@   ,carers            ,12
cargo              ,NoC ,%                 ,10
@                  ,@   ,cargo             ,9
@                  ,@   ,cargoes           ,2
Carl               ,NoP ,:                 ,11
Carol              ,NoP ,:                 ,10
Caroline           ,NoP ,%                 ,19
@                  ,@   ,Caroline          ,19
carpet             ,NoC ,%                 ,34
@                  ,@   ,carpet            ,24
@                  ,@   ,carpets           ,10
carriage           ,NoC ,%                 ,24
@                  ,@   ,carriage          ,20
@                  ,@   ,carriages         ,4
Carrie             ,NoP ,:                 ,12
carrier            ,NoC ,%                 ,19
@                  ,@   ,carrier           ,13
@                  ,@   ,carriers          ,6
carry              ,Verb,%                 ,313
@                  ,@   ,carried           ,138
@                  ,@   ,carries           ,18
@                  ,@   ,carry             ,101
@                  ,@   ,carrying          ,56
cart               ,NoC ,%                 ,12
@                  ,@   ,cart              ,9
@                  ,@   ,carts             ,3
Carter             ,NoP ,%                 ,13
@                  ,@   ,Carter            ,13
@                  ,@   ,Carters           ,0
carve              ,Verb,%                 ,12
@                  ,@   ,carve             ,2
@                  ,@   ,carved            ,8
@                  ,@   ,carves            ,0
@                  ,@   ,carving           ,2
case               ,NoC ,%                 ,613
@                  ,@   ,case              ,431
@                  ,@   ,cases             ,183
cash               ,NoC ,%                 ,82
@                  ,@   ,cash              ,82
cassette           ,NoC ,%                 ,11
@                  ,@   ,cassette          ,8
@                  ,@   ,cassettes         ,3
cast               ,NoC ,%                 ,11
@                  ,@   ,cast              ,10
@                  ,@   ,casts             ,2
cast               ,Verb,%                 ,37
@                  ,@   ,cast              ,30
@                  ,@   ,casting           ,6
@                  ,@   ,casts             ,2
castle             ,NoC ,%                 ,53
@                  ,@   ,castle            ,47
@                  ,@   ,castles           ,6
casual             ,Adj ,%                 ,18
@                  ,@   ,casual            ,18
casualty           ,NoC ,%                 ,17
@                  ,@   ,casualties        ,10
@                  ,@   ,casualty          ,7
cat                ,NoC ,%                 ,55
@                  ,@   ,cat               ,39
@                  ,@   ,cats              ,16
catalogue          ,NoC ,%                 ,30
@                  ,@   ,catalogue         ,24
@                  ,@   ,catalogues        ,7
catch              ,NoC ,%                 ,11
@                  ,@   ,catch             ,9
@                  ,@   ,catches           ,2
catch              ,Verb,%                 ,147
@                  ,@   ,catch             ,43
@                  ,@   ,catches           ,5
@                  ,@   ,catching          ,13
@                  ,@   ,caught            ,86
category           ,NoC ,%                 ,67
@                  ,@   ,categories        ,34
@                  ,@   ,category          ,33
cater              ,Verb,%                 ,18
@                  ,@   ,cater             ,6
@                  ,@   ,catered           ,3
@                  ,@   ,catering          ,8
@                  ,@   ,caters            ,1
cathedral          ,NoC ,%                 ,27
@                  ,@   ,cathedral         ,24
@                  ,@   ,cathedrals        ,3
Catherine          ,NoP ,:                 ,16
catholic           ,Adj ,:                 ,32
catholic           ,NoC ,%                 ,15
@                  ,@   ,catholic          ,7
@                  ,@   ,catholics         ,8
cattle             ,NoC ,:                 ,26
causal             ,Adj ,:                 ,12
cause              ,NoC ,%                 ,99
@                  ,@   ,cause             ,72
@                  ,@   ,causes            ,26
cause              ,Verb,%                 ,206
@                  ,@   ,cause             ,58
@                  ,@   ,caused            ,96
@                  ,@   ,causes            ,20
@                  ,@   ,causing           ,33
caution            ,NoC ,%                 ,13
@                  ,@   ,caution           ,13
@                  ,@   ,cautions          ,1
cautious           ,Adj ,:                 ,11
cave               ,NoC ,%                 ,16
@                  ,@   ,cave              ,11
@                  ,@   ,caves             ,5
CD                 ,NoC ,%                 ,14
@                  ,@   ,CD                ,10
@                  ,@   ,CDs               ,3
cease              ,Verb,%                 ,30
@                  ,@   ,cease             ,10
@                  ,@   ,ceased            ,15
@                  ,@   ,ceases            ,3
@                  ,@   ,ceasing           ,1
ceiling            ,NoC ,%                 ,27
@                  ,@   ,ceiling           ,23
@                  ,@   ,ceilings          ,4
celebrate          ,Verb,%                 ,35
@                  ,@   ,celebrate         ,14
@                  ,@   ,celebrated        ,10
@                  ,@   ,celebrates        ,3
@                  ,@   ,celebrating       ,8
celebration        ,NoC ,%                 ,21
@                  ,@   ,celebration       ,12
@                  ,@   ,celebrations      ,9
cell               ,NoC ,%                 ,131
@                  ,@   ,cell              ,55
@                  ,@   ,cells             ,76
census             ,NoC ,%                 ,12
@                  ,@   ,census            ,10
@                  ,@   ,censuses          ,2
central            ,Adj ,:                 ,193
centre             ,NoC ,%                 ,282
@                  ,@   ,centre            ,230
@                  ,@   ,centres           ,52
centre             ,Verb,%                 ,16
@                  ,@   ,centre            ,1
@                  ,@   ,centred           ,13
@                  ,@   ,centres           ,2
@                  ,@   ,centring          ,1
century            ,NoC ,%                 ,233
@                  ,@   ,centuries         ,36
@                  ,@   ,century           ,197
ceremony           ,NoC ,%                 ,22
@                  ,@   ,ceremonies        ,4
@                  ,@   ,ceremony          ,18
certain            ,Adj ,:                 ,220
certainly          ,Adv ,:                 ,186
certainty          ,NoC ,%                 ,15
@                  ,@   ,certainties       ,2
@                  ,@   ,certainty         ,14
certificate        ,NoC ,%                 ,37
@                  ,@   ,certificate       ,29
@                  ,@   ,certificates      ,9
Ch                 ,NoC ,%                 ,12
@                  ,@   ,Ch                ,4
@                  ,@   ,Ch.               ,7
chain              ,NoC ,%                 ,50
@                  ,@   ,chain             ,37
@                  ,@   ,chains            ,13
chair              ,NoC ,%                 ,97
@                  ,@   ,chair             ,77
@                  ,@   ,chairs            ,20
chair              ,Verb,%                 ,11
@                  ,@   ,chair             ,2
@                  ,@   ,chaired           ,7
@                  ,@   ,chairing          ,1
@                  ,@   ,chairs            ,1
chairman           ,NoC ,%                 ,116
@                  ,@   ,chairman          ,112
@                  ,@   ,chairmen          ,5
challenge          ,NoC ,%                 ,63
@                  ,@   ,challenge         ,52
@                  ,@   ,challenges        ,11
challenge          ,Verb,%                 ,40
@                  ,@   ,challenge         ,16
@                  ,@   ,challenged        ,16
@                  ,@   ,challenges        ,2
@                  ,@   ,challenging       ,6
chamber            ,NoC ,%                 ,36
@                  ,@   ,chamber           ,29
@                  ,@   ,chambers          ,7
champagne          ,NoC ,%                 ,20
@                  ,@   ,champagne         ,19
@                  ,@   ,champagnes        ,0
champion           ,NoC ,%                 ,47
@                  ,@   ,champion          ,32
@                  ,@   ,champions         ,15
championship       ,NoC ,%                 ,49
@                  ,@   ,championship      ,34
@                  ,@   ,championships     ,15
chance             ,NoC ,%                 ,161
@                  ,@   ,chance            ,130
@                  ,@   ,chances           ,30
chancellor         ,NoC ,%                 ,37
@                  ,@   ,chancellor        ,37
@                  ,@   ,chancellors       ,1
change             ,NoC ,%                 ,384
@                  ,@   ,change            ,201
@                  ,@   ,changes           ,183
change             ,Verb,%                 ,273
@                  ,@   ,change            ,119
@                  ,@   ,changed           ,109
@                  ,@   ,changes           ,8
@                  ,@   ,changing          ,36
changing           ,Adj ,:                 ,24
channel            ,NoC ,%                 ,58
@                  ,@   ,channel           ,40
@                  ,@   ,channels          ,18
chaos              ,NoC ,:                 ,16
chap               ,NoC ,%                 ,20
@                  ,@   ,chap              ,16
@                  ,@   ,chaps             ,4
chapel             ,NoC ,%                 ,23
@                  ,@   ,chapel            ,20
@                  ,@   ,chapels           ,3
Chapman            ,NoP ,%                 ,11
@                  ,@   ,Chapman           ,11
@                  ,@   ,Chapmans          ,0
chapter            ,NoC ,%                 ,169
@                  ,@   ,chapter           ,149
@                  ,@   ,chapters          ,20
character          ,NoC ,%                 ,125
@                  ,@   ,character         ,86
@                  ,@   ,characters        ,39
characterise       ,Verb,%                 ,14
@                  ,@   ,characterise      ,3
@                  ,@   ,characterised     ,10
@                  ,@   ,characterises     ,1
@                  ,@   ,characterising    ,1
characteristic     ,Adj ,:                 ,17
characteristic     ,NoC ,%                 ,51
@                  ,@   ,characteristic    ,13
@                  ,@   ,characteristics   ,38
characterize       ,Verb,%                 ,13
@                  ,@   ,characterize      ,2
@                  ,@   ,characterized     ,9
@                  ,@   ,characterizes     ,1
@                  ,@   ,characterizing    ,0
charge             ,NoC ,%                 ,149
@                  ,@   ,charge            ,90
@                  ,@   ,charges           ,60
charge             ,Verb,%                 ,69
@                  ,@   ,charge            ,14
@                  ,@   ,charged           ,46
@                  ,@   ,charges           ,3
@                  ,@   ,charging          ,6
charity            ,NoC ,%                 ,45
@                  ,@   ,charities         ,9
@                  ,@   ,charity           ,35
Charles            ,NoP ,:                 ,91
Charlie            ,NoP ,:                 ,28
Charlotte          ,NoP ,%                 ,16
@                  ,@   ,Charlotte         ,16
charm              ,NoC ,%                 ,15
@                  ,@   ,charm             ,13
@                  ,@   ,charms            ,3
charming           ,Adj ,:                 ,14
chart              ,NoC ,%                 ,26
@                  ,@   ,chart             ,15
@                  ,@   ,charts            ,11
charter            ,NoC ,%                 ,25
@                  ,@   ,charter           ,22
@                  ,@   ,charters          ,3
chase              ,Verb,%                 ,21
@                  ,@   ,chase             ,5
@                  ,@   ,chased            ,6
@                  ,@   ,chases            ,1
@                  ,@   ,chasing           ,9
chat               ,Verb,%                 ,13
@                  ,@   ,chat              ,4
@                  ,@   ,chats             ,0
@                  ,@   ,chatted           ,3
@                  ,@   ,chatting          ,6
cheap              ,Adj ,%                 ,68
@                  ,@   ,cheap             ,39
@                  ,@   ,cheaper           ,23
@                  ,@   ,cheapest          ,5
check              ,NoC ,%                 ,27
@                  ,@   ,check             ,18
@                  ,@   ,checks            ,9
check              ,Verb,%                 ,100
@                  ,@   ,check             ,54
@                  ,@   ,checked           ,25
@                  ,@   ,checking          ,16
@                  ,@   ,checks            ,4
cheek              ,NoC ,%                 ,35
@                  ,@   ,cheek             ,19
@                  ,@   ,cheeks            ,16
cheer              ,Verb,%                 ,12
@                  ,@   ,cheer             ,5
@                  ,@   ,cheered           ,5
@                  ,@   ,cheering          ,3
cheerful           ,Adj ,:                 ,12
cheese             ,NoC ,%                 ,30
@                  ,@   ,cheese            ,26
@                  ,@   ,cheeses           ,4
Chelsea            ,NoP ,:                 ,15
Cheltenham         ,NoP ,%                 ,14
@                  ,@   ,Cheltenham        ,14
chemical           ,Adj ,:                 ,33
chemical           ,NoC ,%                 ,33
@                  ,@   ,chemical          ,11
@                  ,@   ,chemicals         ,22
chemist            ,NoC ,%                 ,12
@                  ,@   ,chemist           ,7
@                  ,@   ,chemists          ,5
chemistry          ,NoC ,:                 ,20
cheque             ,NoC ,%                 ,29
@                  ,@   ,cheque            ,20
@                  ,@   ,cheques           ,9
Cheshire           ,NoP ,%                 ,11
@                  ,@   ,Cheshire          ,11
@                  ,@   ,Cheshires         ,0
chest              ,NoC ,%                 ,40
@                  ,@   ,chest             ,38
@                  ,@   ,chests            ,2
Chester            ,NoP ,:                 ,11
chew               ,Verb,%                 ,10
@                  ,@   ,chew              ,3
@                  ,@   ,chewed            ,3
@                  ,@   ,chewing           ,4
@                  ,@   ,chews             ,0
Chicago            ,NoP ,:                 ,11
chicken            ,NoC ,%                 ,25
@                  ,@   ,chicken           ,20
@                  ,@   ,chickens          ,5
chief              ,Adj ,%                 ,75
@                  ,@   ,chief             ,75
chief              ,NoC ,%                 ,47
@                  ,@   ,chief             ,38
@                  ,@   ,chiefs            ,9
child              ,NoC ,%                 ,710
@                  ,@   ,child             ,244
@                  ,@   ,children          ,466
childhood          ,NoC ,%                 ,29
@                  ,@   ,childhood         ,28
@                  ,@   ,childhoods        ,0
chin               ,NoC ,%                 ,16
@                  ,@   ,chin              ,16
@                  ,@   ,chins             ,1
China              ,NoP ,%                 ,46
@                  ,@   ,China             ,46
Chinese            ,Adj ,:                 ,40
chip               ,NoC ,%                 ,36
@                  ,@   ,chip              ,18
@                  ,@   ,chips             ,18
chocolate          ,NoC ,%                 ,24
@                  ,@   ,chocolate         ,21
@                  ,@   ,chocolates        ,3
choice             ,NoC ,%                 ,138
@                  ,@   ,choice            ,120
@                  ,@   ,choices           ,18
choir              ,NoC ,%                 ,12
@                  ,@   ,choir             ,10
@                  ,@   ,choirs            ,2
choose             ,Verb,%                 ,168
@                  ,@   ,choose            ,68
@                  ,@   ,chooses           ,6
@                  ,@   ,choosing          ,17
@                  ,@   ,chose             ,28
@                  ,@   ,chosen            ,49
chop               ,Verb,%                 ,10
@                  ,@   ,chop              ,3
@                  ,@   ,chopped           ,5
@                  ,@   ,chopping          ,2
@                  ,@   ,chops             ,0
chord              ,NoC ,%                 ,10
@                  ,@   ,chord             ,6
@                  ,@   ,chords            ,5
chorus             ,NoC ,%                 ,11
@                  ,@   ,chorus            ,10
@                  ,@   ,choruses          ,1
chosen             ,Adj ,:                 ,11
Chris              ,NoP ,:                 ,45
Christ             ,NoP ,%                 ,47
@                  ,@   ,Christ            ,47
@                  ,@   ,Christs           ,0
Christian          ,Adj ,:                 ,62
Christian          ,NoC ,%                 ,21
@                  ,@   ,Christian         ,5
@                  ,@   ,Christians        ,16
Christianity       ,NoC ,:                 ,18
Christie           ,NoP ,:                 ,12
Christine          ,NoP ,:                 ,11
Christmas          ,NoC ,:                 ,88
Christopher        ,NoP ,%                 ,23
@                  ,@   ,Christopher       ,23
chronic            ,Adj ,:                 ,17
church             ,NoC ,%                 ,238
@                  ,@   ,church            ,203
@                  ,@   ,churches          ,35
Churchill          ,NoP ,%                 ,14
@                  ,@   ,Churchill         ,14
cigarette          ,NoC ,%                 ,36
@                  ,@   ,cigarette         ,23
@                  ,@   ,cigarettes        ,13
cinema             ,NoC ,%                 ,22
@                  ,@   ,cinema            ,19
@                  ,@   ,cinemas           ,3
circle             ,NoC ,%                 ,50
@                  ,@   ,circle            ,34
@                  ,@   ,circles           ,17
circuit            ,NoC ,%                 ,33
@                  ,@   ,circuit           ,26
@                  ,@   ,circuits          ,6
circular           ,Adj ,:                 ,13
circulate          ,Verb,%                 ,14
@                  ,@   ,circulate         ,3
@                  ,@   ,circulated        ,6
@                  ,@   ,circulates        ,1
@                  ,@   ,circulating       ,4
circulation        ,NoC ,%                 ,15
@                  ,@   ,circulation       ,15
@                  ,@   ,circulations      ,0
circumstance       ,NoC ,%                 ,110
@                  ,@   ,circumstance      ,6
@                  ,@   ,circumstances     ,104
cite               ,Verb,%                 ,26
@                  ,@   ,cite              ,3
@                  ,@   ,cited             ,14
@                  ,@   ,cites             ,5
@                  ,@   ,citing            ,3
citizen            ,NoC ,%                 ,47
@                  ,@   ,citizen           ,14
@                  ,@   ,citizens          ,33
city               ,NoC ,%                 ,275
@                  ,@   ,cities            ,44
@                  ,@   ,city              ,231
civic              ,Adj ,:                 ,10
civil              ,Adj ,:                 ,87
civilian           ,Adj ,:                 ,12
claim              ,NoC ,%                 ,118
@                  ,@   ,claim             ,66
@                  ,@   ,claims            ,53
claim              ,Verb,%                 ,189
@                  ,@   ,claim             ,47
@                  ,@   ,claimed           ,83
@                  ,@   ,claiming          ,22
@                  ,@   ,claims            ,37
Claire             ,NoP ,%                 ,11
@                  ,@   ,Claire            ,11
Clare              ,NoP ,%                 ,21
@                  ,@   ,Clare             ,21
clarify            ,Verb,%                 ,14
@                  ,@   ,clarified         ,3
@                  ,@   ,clarifies         ,1
@                  ,@   ,clarify           ,9
@                  ,@   ,clarifying        ,2
clarity            ,NoC ,%                 ,11
@                  ,@   ,clarity           ,11
Clark              ,NoP ,:                 ,17
Clarke             ,NoP ,%                 ,21
@                  ,@   ,Clarke            ,20
@                  ,@   ,Clarkes           ,0
clash              ,NoC ,%                 ,18
@                  ,@   ,clash             ,11
@                  ,@   ,clashes           ,7
class              ,NoC ,%                 ,241
@                  ,@   ,class             ,181
@                  ,@   ,classes           ,61
classic            ,Adj ,:                 ,26
classic            ,NoC ,%                 ,16
@                  ,@   ,classic           ,8
@                  ,@   ,classics          ,7
classical          ,Adj ,:                 ,33
classification     ,NoC ,%                 ,19
@                  ,@   ,classification    ,17
@                  ,@   ,classifications   ,2
classify           ,Verb,%                 ,16
@                  ,@   ,classified        ,10
@                  ,@   ,classifies        ,0
@                  ,@   ,classify          ,3
@                  ,@   ,classifying       ,2
classroom          ,NoC ,%                 ,28
@                  ,@   ,classroom         ,23
@                  ,@   ,classrooms        ,5
Claudia            ,NoP ,:                 ,11
clause             ,NoC ,%                 ,49
@                  ,@   ,clause            ,36
@                  ,@   ,clauses           ,13
clay               ,NoC ,%                 ,17
@                  ,@   ,clay              ,15
@                  ,@   ,clays             ,2
clean              ,Adj ,%                 ,52
@                  ,@   ,clean             ,48
@                  ,@   ,cleaner           ,3
@                  ,@   ,cleanest          ,1
clean              ,Verb,%                 ,40
@                  ,@   ,clean             ,16
@                  ,@   ,cleaned           ,11
@                  ,@   ,cleaning          ,12
@                  ,@   ,cleans            ,1
cleaner            ,NoC ,%                 ,12
@                  ,@   ,cleaner           ,7
@                  ,@   ,cleaners          ,4
cleaning           ,NoC ,%                 ,12
@                  ,@   ,cleaning          ,12
clear              ,Adj ,%                 ,239
@                  ,@   ,clear             ,227
@                  ,@   ,clearer           ,9
@                  ,@   ,clearest          ,3
clear              ,Verb,%                 ,59
@                  ,@   ,clear             ,24
@                  ,@   ,cleared           ,27
@                  ,@   ,clearing          ,7
@                  ,@   ,clears            ,2
clearly            ,Adv ,:                 ,153
clergy             ,NoC ,:                 ,14
clerk              ,NoC ,%                 ,26
@                  ,@   ,clerk             ,19
@                  ,@   ,clerks            ,6
Cleveland          ,NoP ,:                 ,17
clever             ,Adj ,%                 ,25
@                  ,@   ,clever            ,24
@                  ,@   ,cleverer          ,1
@                  ,@   ,cleverest         ,0
client             ,NoC ,%                 ,110
@                  ,@   ,client            ,61
@                  ,@   ,clients           ,49
cliff              ,NoC ,%                 ,20
@                  ,@   ,cliff             ,11
@                  ,@   ,cliffs            ,9
climate            ,NoC ,%                 ,31
@                  ,@   ,climate           ,28
@                  ,@   ,climates          ,2
climb              ,Verb,%                 ,57
@                  ,@   ,climb             ,16
@                  ,@   ,climbed           ,24
@                  ,@   ,climbing          ,13
@                  ,@   ,climbs            ,3
cling              ,Verb,%                 ,17
@                  ,@   ,cling             ,4
@                  ,@   ,clinging          ,6
@                  ,@   ,clings            ,1
@                  ,@   ,clung             ,7
clinic             ,NoC ,%                 ,22
@                  ,@   ,clinic            ,15
@                  ,@   ,clinics           ,8
clinical           ,Adj ,:                 ,30
Clinton            ,NoP ,%                 ,20
@                  ,@   ,Clinton           ,20
@                  ,@   ,Clintons          ,0
Clive              ,NoP ,%                 ,10
@                  ,@   ,Clive             ,10
clock              ,NoC ,%                 ,33
@                  ,@   ,clock             ,29
@                  ,@   ,clocks            ,5
close              ,Adj ,%                 ,154
@                  ,@   ,close             ,126
@                  ,@   ,closer            ,21
@                  ,@   ,closest           ,8
close              ,Adv ,:                 ,42
close              ,NoC ,%                 ,11
@                  ,@   ,close             ,11
@                  ,@   ,closes            ,0
close              ,Verb,%                 ,133
@                  ,@   ,close             ,35
@                  ,@   ,closed            ,79
@                  ,@   ,closes            ,5
@                  ,@   ,closing           ,14
closed             ,Adj ,:                 ,20
closely            ,Adv ,:                 ,55
closer             ,Adv ,:                 ,26
closure            ,NoC ,%                 ,25
@                  ,@   ,closure           ,19
@                  ,@   ,closures          ,6
cloth              ,NoC ,%                 ,22
